state,homeownership,annual_income,debt_to_income,total_credit_limit,total_credit_utilized,loan_purpose,loan_amount,term,interest_rate,installment,grade,issue_month,loan_status,risk_category_loan_status,balance,paid_total,paid_principal,paid_interest,default_flag,income_band,dti_bucket,dti_risk_bucket,utilization_alert,utilization_bucket
MO,Own,"80,000.00",20.69,77903,28673,Other,30000,36,9.93%,967.03,B,1/1/2018,Current,Healthy,26346.13,4818.60,3653.87,1164.73,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
IL,Own,"25,252.00",35.5,41702,27393,Debt_Consolidation,8000,36,19.03%,293.37,D,2/1/2018,Current,Healthy,7317.98,1165.02,682.02,483.00,0,Low (<50k),Risky (>30%),High,Safe,High
SC,Rent,"51,000.00",10.89,25878,8045,Debt_Consolidation,10000,36,10.41%,324.61,B,3/1/2018,Current,Healthy,9280.21,968.05,719.79,248.26,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
TX,Mortgage,"50,000.00",10.06,154807,13525,Credit_Card,12000,36,9.43%,384.01,B,3/1/2018,Current,Healthy,11124.02,1139.46,875.98,263.48,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
PA,Rent,"18,000.00",30.67,33225,17176,Credit_Card,7000,36,18.06%,253.28,D,1/1/2018,Late (16-30 Days),Delinquent,6297.08,1121.10,702.92,403.18,1,Low (<50k),Risky (>30%),Medium,Safe,High
CA,Rent,"150,000.00",19.92,108967,71172,Credit_Card,20000,36,12.62%,670.23,C,1/1/2018,Current,Healthy,17401.75,3565.30,2598.25,967.05,0,High (>100k),Manageable (15-30%),Low,Safe,High
CA,Rent,"115,000.00",15.59,80786,52331,Credit_Card,25000,60,12.62%,563.98,C,1/1/2018,Current,Healthy,23462.69,2802.37,1537.31,1265.06,0,High (>100k),Manageable (15-30%),Low,Safe,High
ND,Mortgage,"104,000.00",13.14,221397,53428,Credit_Card,9000,36,14.08%,307.95,C,1/1/2018,Current,Healthy,7964.23,1525.67,1035.77,489.90,0,High (>100k),Healthy (<15%),Low,Safe,High
MI,Own,"63,000.00",15.12,60600,19702,Credit_Card,6000,36,6.71%,184.47,A,3/1/2018,Current,Healthy,5544.70,541.12,455.30,85.82,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
CA,Rent,"40,000.00",21.42,86185,49725,Home_Improvement,25600,60,14.08%,596.73,C,1/1/2018,Current,Healthy,24083.03,2983.66,1516.97,1466.69,0,Low (<50k),Manageable (15-30%),Medium,Safe,High
CA,Rent,"35,000.00",22.98,44209,27492,Debt_Consolidation,11000,36,11.99%,365.31,B,3/1/2018,Current,Healthy,10226.11,1081.28,773.89,307.39,0,Low (<50k),Manageable (15-30%),Medium,Safe,High
CT,Rent,"94,000.00",9.26,19800,15128,Debt_Consolidation,30000,60,21.45%,819.22,D,1/1/2018,Current,Healthy,28837.41,3205.38,1162.59,2042.79,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
AL,Mortgage,"135,000.00",27.11,405577,196112,Major_Purchase,3500,36,16.01%,123.07,C,3/1/2018,Current,Healthy,3267.81,366.10,232.19,133.91,0,High (>100k),Manageable (15-30%),Medium,Safe,High
NY,Rent,"30,000.00",2,8300,384,Moving,12000,36,6.71%,368.94,A,3/1/2018,Current,Healthy,11089.41,1097.87,910.59,187.28,0,Low (<50k),Healthy (<15%),Low,Safe,High
CA,Own,"40,000.00",18.36,42935,25690,Home_Improvement,25000,36,12.61%,837.67,C,3/1/2018,Current,Healthy,23256.93,2495.50,1743.07,752.43,0,Low (<50k),Manageable (15-30%),Low,Safe,High
FL,Mortgage,"57,000.00",8.84,168553,9095,Debt_Consolidation,10000,60,13.58%,230.52,C,2/1/2018,Current,Healthy,9522.56,906.99,477.44,429.55,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
NY,Own,"72,000.00",13.88,286900,31950,Debt_Consolidation,16000,60,7.35%,319.47,A,3/1/2018,Current,Healthy,15331.51,951.88,668.49,283.39,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
CA,Own,"100,000.00",28.99,110147,82723,Other,3000,36,17.47%,107.67,D,3/1/2018,Current,Healthy,2805.21,317.19,194.79,122.40,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
CA,Rent,"550,000.00",4.14,65083,42630,Debt_Consolidation,30000,36,21.45%,1137.2,D,1/1/2018,Current,Healthy,26885.89,5596.62,3114.11,2482.51,0,High (>100k),Healthy (<15%),Low,Safe,High
LA,Own,"15,000.00",25.46,27200,7297,Other,7200,36,11.98%,239.08,B,3/1/2018,Current,Healthy,6863.93,501.35,336.07,165.28,0,Low (<50k),Manageable (15-30%),Medium,Safe,High
NV,Rent,"62,400.00",16.44,39120,20357,Credit_Card,12000,36,15.05%,416.28,C,1/1/2018,Current,Healthy,10916.71,1655.09,1083.29,571.80,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
IL,Rent,"12,000.00",10.13,26600,3378,Other,1000,36,11.98%,33.21,B,3/1/2018,Current,Healthy,953.31,65.09,46.69,18.40,0,Low (<50k),Healthy (<15%),Low,Safe,High
GA,Mortgage,"42,996.00",4.19,127450,5135,Other,7200,36,6.72%,221.4,A,1/1/2018,Current,Healthy,6284.40,1104.31,915.60,188.71,0,Low (<50k),Healthy (<15%),Low,Safe,High
PA,Mortgage,"180,000.00",7.81,733339,61825,Debt_Consolidation,32000,60,15.05%,762.12,C,2/1/2018,Current,Healthy,30529.48,3021.72,1470.52,1551.20,0,High (>100k),Healthy (<15%),Low,Safe,High
TX,Mortgage,"60,000.00",27.78,263009,48701,Debt_Consolidation,16000,60,20.39%,427.39,D,2/1/2018,Current,Healthy,15361.87,1673.31,638.13,1035.18,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
CA,Rent,"70,000.00",16.36,52873,40161,Renewable_Energy,5000,36,16.02%,175.84,C,1/1/2018,Current,Healthy,4439.79,874.75,560.21,314.54,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
KS,Mortgage,"49,343.00",28.77,418265,44270,Credit_Card,40000,36,5.32%,1204.6,A,2/1/2018,Current,Healthy,36904.52,3601.98,3095.48,506.50,0,Low (<50k),Manageable (15-30%),Medium,Safe,High
PA,Rent,"135,000.00",12.58,560440,117098,Other,40000,60,7.35%,798.67,A,2/1/2018,Current,Healthy,37764.89,3178.35,2235.11,943.24,0,High (>100k),Healthy (<15%),Low,Safe,High
LA,Mortgage,"50,220.00",36.6,106107,68410,Credit_Card,35000,36,10.42%,1136.27,B,1/1/2018,Current,Healthy,31626.97,4524.82,3373.03,1151.79,0,Medium (50k-100k),Risky (>30%),High,Safe,High
TX,Rent,"77,000.00",13.28,48685,35380,Major_Purchase,5000,36,16.02%,175.84,C,3/1/2018,Current,Healthy,4668.34,518.62,331.66,186.96,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
VA,Rent,"50,000.00",6.34,31507,18817,Moving,1800,36,6.07%,54.82,A,2/1/2018,Current,Healthy,1615.75,218.67,184.25,34.42,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
GA,Rent,"16,356.00",16.07,6825,5194,Major_Purchase,5000,36,19.03%,183.36,D,1/1/2018,Current,Healthy,4462.89,906.23,537.11,369.12,0,Low (<50k),Manageable (15-30%),Low,Safe,High
TX,Rent,"137,500.00",9.1,90033,59646,Credit_Card,35000,36,6.71%,1076.07,A,3/1/2018,Current,Healthy,33234.35,2139.09,1765.65,373.44,0,High (>100k),Healthy (<15%),Low,Safe,High
CO,Mortgage,"42,000.00",35.2,82774,32166,Credit_Card,8000,36,6.72%,246,A,2/1/2018,Current,Healthy,7188.41,981.01,811.59,169.42,0,Low (<50k),Risky (>30%),High,Safe,High
MA,Own,"100,000.00",10.42,444543,37097,House,6025,36,18.45%,219.19,D,3/1/2018,Current,Healthy,5639.47,645.22,385.53,259.69,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
IL,Mortgage,"106,300.00",21.74,431916,70013,Debt_Consolidation,38375,60,16.02%,933.62,C,1/1/2018,Current,Healthy,36655.70,3700.33,1719.30,1981.03,0,High (>100k),Manageable (15-30%),Medium,Safe,High
FL,Mortgage,"50,000.00",12.79,159302,41861,Credit_Card,5000,36,9.44%,160.03,B,1/1/2018,Current,Healthy,4386.95,797.53,613.05,184.48,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
TN,Rent,"29,982.00",30.9,43991,32330,Debt_Consolidation,4000,36,22.91%,154.66,E,2/1/2018,Current,Healthy,3677.74,626.28,322.26,304.02,0,Low (<50k),Risky (>30%),Medium,Safe,High
NY,Rent,"50,000.00",9.15,28872,16231,Debt_Consolidation,6500,36,6.08%,197.98,A,1/1/2018,Current,Healthy,5666.35,993.20,833.65,159.55,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
RI,Mortgage,"75,000.00",16.5,55439,23818,Credit_Card,5000,36,9.92%,161.15,B,2/1/2018,Current,Healthy,4514.76,641.84,485.24,156.60,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
NV,Mortgage,"120,000.00",36.15,561945,176384,Credit_Card,30000,36,12.62%,1005.34,C,1/1/2018,Current,Healthy,27196.80,4137.05,2803.20,1333.85,0,High (>100k),Risky (>30%),High,Safe,High
AL,Mortgage,"100,000.00",22,580342,87322,Debt_Consolidation,20800,60,12.62%,469.23,C,1/1/2018,Current,Healthy,19520.96,2316.98,1279.04,1037.94,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
PA,Mortgage,"66,872.00",18.09,53512,43908,Credit_Card,9000,36,21.45%,341.16,D,1/1/2018,Current,Healthy,8065.77,1684.35,934.23,750.12,0,Medium (50k-100k),Manageable (15-30%),Low,Maxed Out,High
CA,Own,"75,000.00",16.02,402498,23888,Vacation,1500,36,6.08%,45.69,A,2/1/2018,Current,Healthy,1346.48,181.75,153.52,28.23,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
FL,Mortgage,"40,000.00",34.98,140435,37936,Debt_Consolidation,20000,36,17.47%,717.75,D,3/1/2018,Current,Healthy,18701.53,2133.84,1298.47,835.37,0,Low (<50k),Risky (>30%),Medium,Safe,High
NY,Own,"125,000.00",18.22,557584,59865,Debt_Consolidation,28000,60,11.98%,622.57,B,3/1/2018,Current,Healthy,27310.50,1226.50,689.50,537.00,0,High (>100k),Manageable (15-30%),Low,Safe,High
NY,Rent,"55,000.00",9.9,75450,70297,Major_Purchase,15000,36,15.05%,520.35,C,1/1/2018,Current,Healthy,13296.68,2570.40,1703.32,867.08,0,Medium (50k-100k),Healthy (<15%),Low,Maxed Out,High
NY,Rent,"56,000.00",12.99,48540,29152,Debt_Consolidation,6000,36,16.02%,211.01,C,1/1/2018,Fully Paid,Healthy,0.00,6040.05,6000.00,40.05,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
AZ,Mortgage,"49,000.00",23.59,209434,20820,Major_Purchase,3600,36,10.91%,117.71,B,2/1/2018,Current,Healthy,3255.42,479.57,344.58,134.99,0,Low (<50k),Manageable (15-30%),Medium,Safe,High
NH,Rent,"41,000.00",13.82,33600,14252,Debt_Consolidation,12000,36,7.97%,375.88,A,1/1/2018,Current,Healthy,9863.47,2504.09,2136.53,367.56,0,Low (<50k),Healthy (<15%),Low,Safe,High
VA,Rent,"44,000.00",27.88,45280,34138,Debt_Consolidation,4000,36,14.07%,136.85,C,3/1/2018,Current,Healthy,3726.97,399.61,273.03,126.58,0,Low (<50k),Manageable (15-30%),Medium,Safe,High
CA,Mortgage,"80,000.00",6.39,646137,11055,Debt_Consolidation,24000,60,24.85%,702.33,E,2/1/2018,Fully Paid,Healthy,0.00,25606.35,24000.00,1606.35,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
SC,Mortgage,"80,000.00",22.16,492583,67189,Debt_Consolidation,18000,60,13.58%,414.92,C,2/1/2018,Current,Healthy,17359.14,1231.18,640.86,590.32,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
CO,Rent,"54,000.00",10.49,44239,25574,Other,32000,36,9.93%,1031.5,B,1/1/2018,Current,Healthy,28102.53,5139.85,3897.47,1242.38,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
MA,Rent,"43,200.00",24.5,76541,44351,Credit_Card,10000,36,6.08%,304.59,A,1/1/2018,Current,Healthy,8717.45,1516.19,1282.55,233.64,0,Low (<50k),Manageable (15-30%),Medium,Safe,High
MI,Mortgage,"80,000.00",11.4,124101,22407,Debt_Consolidation,24000,36,7.35%,744.9,A,2/1/2018,Current,Healthy,21586.34,2964.90,2413.66,551.24,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
AR,Rent,"20,000.00",2.7,11800,1659,Credit_Card,1925,36,15.04%,66.77,C,3/1/2018,Current,Healthy,1795.46,198.70,129.54,69.16,0,Low (<50k),Healthy (<15%),Low,Safe,High
OH,Mortgage,"57,000.00",5.39,79869,7498,Debt_Consolidation,9000,36,9.44%,288.05,B,1/1/2018,Current,Healthy,8120.69,1147.48,879.31,268.17,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
FL,Own,"31,000.00",26.6,56594,33521,Credit_Card,10000,60,12.61%,225.54,C,3/1/2018,Current,Healthy,9634.82,669.61,365.18,304.43,0,Low (<50k),Manageable (15-30%),Medium,Safe,High
OH,Mortgage,"70,000.00",25.36,203922,50116,Debt_Consolidation,20000,60,11.98%,444.69,B,2/1/2018,Current,Healthy,19257.57,1320.76,742.43,578.33,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
MD,Rent,"45,000.00",22.88,57722,51862,Credit_Card,10000,36,12.61%,335.07,C,2/1/2018,Current,Healthy,9302.76,998.20,697.24,300.96,0,Low (<50k),Manageable (15-30%),Medium,Maxed Out,High
GA,Rent,"53,000.00",8,35300,24970,Debt_Consolidation,7300,36,6.71%,224.44,A,3/1/2018,Current,Healthy,6931.73,443.44,368.27,75.17,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
CA,Own,"58,000.00",14.08,31959,23651,Debt_Consolidation,24000,36,20.39%,896.71,D,3/1/2018,Current,Healthy,20983.18,3792.29,3016.82,775.47,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
SC,Mortgage,"120,000.00",15.77,341609,52830,Debt_Consolidation,19000,36,9.43%,608.01,B,3/1/2018,Current,Healthy,17613.05,1814.08,1386.95,427.13,0,High (>100k),Manageable (15-30%),Low,Safe,High
TN,Own,"20,000.00",12.35,11400,7362,Debt_Consolidation,9600,36,22.91%,371.17,E,1/1/2018,Current,Healthy,8826.64,1509.12,773.36,735.76,0,Low (<50k),Healthy (<15%),Low,Safe,High
WV,Own,"35,000.00",21.09,39509,15283,Debt_Consolidation,21000,60,16.02%,510.91,C,2/1/2018,Current,Healthy,20059.13,2024.95,940.87,1084.08,0,Low (<50k),Manageable (15-30%),Medium,Safe,High
MN,Mortgage,"123,000.00",27.76,543308,98559,Other,28000,60,10.42%,600.73,B,2/1/2018,Current,Healthy,26550.87,2492.07,1449.13,1042.94,0,High (>100k),Manageable (15-30%),Medium,Safe,High
AZ,Rent,"106,000.00",10.31,94151,89625,Credit_Card,20000,60,20.39%,534.23,D,3/1/2018,Current,Healthy,19406.84,1580.03,593.16,986.87,0,High (>100k),Healthy (<15%),Low,Maxed Out,High
IN,Rent,"70,000.00",14.3,44684,26825,Major_Purchase,10000,60,12.61%,225.54,C,3/1/2018,Current,Healthy,9634.82,669.61,365.18,304.43,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
FL,Rent,"51,000.00",21.55,52406,26907,Debt_Consolidation,12000,36,15.04%,416.22,C,3/1/2018,Current,Healthy,11465.03,822.41,534.97,287.44,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
MN,Rent,"80,000.00",18.89,120062,39801,Credit_Card,15000,36,6.08%,456.88,A,1/1/2018,Current,Healthy,13076.20,2271.73,1923.80,347.93,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
TX,Mortgage,"9,972.00",191.7,227670,65483,Debt_Consolidation,20000,60,18.06%,508.53,D,2/1/2018,Current,Healthy,19150.95,2014.05,849.05,1165.00,0,Low (<50k),Risky (>30%),High,Safe,High
SC,Mortgage,"63,000.00",19.05,249753,37846,Credit_Card,12000,60,10.91%,260.38,B,2/1/2018,Current,Healthy,11386.57,1037.89,613.43,424.46,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
OH,Rent,"82,200.00",23.21,65300,38226,Debt_Consolidation,16000,36,7.34%,496.53,A,3/1/2018,Current,Healthy,14796.68,1476.54,1203.32,273.22,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
NY,Mortgage,"49,920.00",17.19,97111,30825,Debt_Consolidation,40000,36,6.72%,1229.97,A,2/1/2018,Current,Healthy,35942.19,4904.95,4057.81,847.14,0,Low (<50k),Manageable (15-30%),Low,Safe,High
CA,Rent,"18,000.00",37.07,37604,23636,Credit_Card,2000,36,15.05%,69.38,C,1/1/2018,Current,Healthy,1772.89,343.56,227.11,116.45,0,Low (<50k),Risky (>30%),High,Safe,High
CA,Mortgage,"112,000.00",2.68,372500,10638,Small_Business,40000,36,5.32%,1204.6,A,1/1/2018,Current,Healthy,35863.53,4806.58,4136.47,670.11,0,High (>100k),Healthy (<15%),Low,Safe,High
IL,Rent,"70,000.00",8.4,37500,20575,Credit_Card,20000,60,6.72%,393.39,A,2/1/2018,Current,Healthy,18864.95,1528.76,1135.05,393.71,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
CA,Rent,"50,000.00",23.84,39861,11773,Debt_Consolidation,7500,36,19.03%,275.04,D,2/1/2018,Current,Healthy,6860.58,1084.30,639.42,444.88,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
CT,Mortgage,"51,800.00",35.38,126947,85074,Debt_Consolidation,7000,36,7.97%,219.26,A,2/1/2018,Current,Healthy,6302.01,870.84,697.99,172.85,0,Medium (50k-100k),Risky (>30%),High,Safe,High
FL,Rent,"77,000.00",39.51,189979,108455,Debt_Consolidation,24000,60,17.09%,597.63,D,2/1/2018,Current,Healthy,22954.61,2344.95,1045.39,1299.56,0,Medium (50k-100k),Risky (>30%),High,Safe,High
GA,Rent,"85,000.00",10.72,38328,35794,Credit_Card,6000,36,14.08%,205.3,C,1/1/2018,Current,Healthy,5309.48,1021.81,690.52,331.29,0,Medium (50k-100k),Healthy (<15%),Low,Maxed Out,High
CA,Mortgage,"58,000.00",17.71,395750,26178,Other,4800,36,15.04%,166.49,C,2/1/2018,Current,Healthy,4477.00,495.46,323.00,172.46,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
KY,Rent,"48,000.00",42.65,188527,149388,Vacation,5000,36,21.45%,189.54,D,2/1/2018,Current,Healthy,4588.46,711.82,411.54,300.28,0,Low (<50k),Risky (>30%),High,Safe,High
AL,Mortgage,"50,622.00",5.95,168011,71721,Debt_Consolidation,5600,36,9.44%,179.23,B,1/1/2018,Fully Paid,Healthy,0.00,5644.05,5600.00,44.05,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
MD,Mortgage,"47,000.00",48.19,361789,83207,Credit_Card,21000,36,9.93%,676.93,B,1/1/2018,Current,Healthy,18442.24,3361.48,2557.76,803.72,0,Low (<50k),Risky (>30%),High,Safe,High
TX,Own,"31,200.00",17.95,36266,18283,Small_Business,21275,60,14.08%,495.92,C,1/1/2018,Current,Healthy,20014.29,2446.32,1260.71,1185.61,0,Low (<50k),Manageable (15-30%),Low,Safe,High
OK,Mortgage,"13,500.00",174.49,132365,72651,Debt_Consolidation,35000,60,15.05%,833.57,C,1/1/2018,Current,Healthy,33391.60,3333.29,1608.40,1724.89,0,Low (<50k),Risky (>30%),High,Safe,High
FL,Rent,"75,000.00",16.37,78394,44532,Debt_Consolidation,24000,36,15.05%,832.56,C,2/1/2018,Current,Healthy,2554.92,22290.11,21445.08,845.03,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
TN,Rent,"43,000.00",15.92,30879,12384,Credit_Card,5000,36,9.44%,160.03,B,1/1/2018,Current,Healthy,4511.49,648.44,488.51,159.93,0,Low (<50k),Manageable (15-30%),Low,Safe,High
NY,Mortgage,"100,000.00",9.37,180695,28746,Debt_Consolidation,20000,36,5.31%,602.21,A,3/1/2018,Current,Healthy,17947.16,2300.73,2052.84,247.89,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
GA,Mortgage,"159,000.00",18.5,118475,142699,Credit_Card,18000,36,10.42%,584.37,B,1/1/2018,Current,Healthy,15822.16,2901.01,2177.84,723.17,0,High (>100k),Manageable (15-30%),Low,Maxed Out,High
TX,Mortgage,"103,960.00",7.47,157850,16981,Home_Improvement,3500,36,6.72%,107.63,A,1/1/2018,Current,Healthy,2850.03,736.84,649.97,86.87,0,High (>100k),Healthy (<15%),Low,Safe,High
CA,Rent,"67,000.00",33.28,103200,55164,Credit_Card,18000,60,17.09%,448.22,D,1/1/2018,Current,Healthy,17012.93,2206.92,987.07,1219.85,0,Medium (50k-100k),Risky (>30%),Medium,Safe,High
CA,Rent,"70,000.00",8.55,46558,23680,Major_Purchase,10000,60,14.07%,233.05,C,2/1/2018,Current,Healthy,9528.59,916.57,471.41,445.16,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
NY,Rent,"30,000.00",18.8,80100,24827,Debt_Consolidation,24000,60,13.59%,553.35,C,2/1/2018,Current,Healthy,22854.52,2168.10,1145.48,1022.62,0,Low (<50k),Manageable (15-30%),Low,Safe,High
IL,Own,"107,000.00",28.93,182242,159546,Debt_Consolidation,35000,36,15.04%,1213.98,C,3/1/2018,Current,Healthy,32644.79,3583.45,2355.21,1228.24,0,High (>100k),Manageable (15-30%),Medium,Maxed Out,High
CA,Mortgage,"38,000.00",3.27,17800,2780,Debt_Consolidation,10000,60,11.98%,222.35,B,3/1/2018,Current,Healthy,9628.77,653.74,371.23,282.51,0,Low (<50k),Healthy (<15%),Low,Safe,High
CA,Mortgage,"70,000.00",30.64,96511,46475,Debt_Consolidation,24000,36,9.92%,773.52,B,2/1/2018,Current,Healthy,22260.34,2307.33,1739.66,567.67,0,Medium (50k-100k),Risky (>30%),Medium,Safe,High
OK,Own,"50,000.00",14.14,251649,19261,Debt_Consolidation,25000,60,15.04%,595.28,C,3/1/2018,Current,Healthy,24432.57,1148.78,567.43,581.35,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
CA,Rent,"105,000.00",29.27,134856,93957,Debt_Consolidation,30000,36,17.47%,1076.62,D,3/1/2018,Current,Healthy,28710.94,2124.12,1289.06,835.06,0,High (>100k),Manageable (15-30%),Medium,Safe,High
WA,Rent,"75,000.00",6.77,72100,17427,Car,20800,36,6.07%,633.44,A,3/1/2018,Current,Healthy,19207.29,1893.31,1592.71,300.60,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
CA,Rent,"75,000.00",14.77,48667,34111,Credit_Card,20000,36,11.99%,664.2,B,2/1/2018,Current,Healthy,18114.51,2630.16,1885.49,744.67,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
UT,Mortgage,"37,447.00",43.08,516200,64974,Other,4000,36,14.07%,136.85,C,3/1/2018,Current,Healthy,3819.05,270.57,180.95,89.62,0,Low (<50k),Risky (>30%),High,Safe,High
TN,Mortgage,"103,000.00",26.79,389361,44020,Debt_Consolidation,30000,36,6.08%,913.75,A,1/1/2018,Current,Healthy,26152.46,4594.09,3847.54,746.55,0,High (>100k),Manageable (15-30%),Medium,Safe,High
NJ,Rent,"30,000.00",4.28,11100,3392,Other,1200,36,13.58%,40.77,C,2/1/2018,Current,Healthy,1117.50,121.40,82.50,38.90,0,Low (<50k),Healthy (<15%),Low,Safe,High
LA,Rent,"340,000.00",7.98,234764,124783,Debt_Consolidation,30000,36,5.32%,903.45,A,2/1/2018,Current,Healthy,26897.65,3604.93,3102.35,502.58,0,High (>100k),Healthy (<15%),Low,Safe,High
MO,Mortgage,"42,000.00",7.95,84455,8161,Debt_Consolidation,13600,60,15.04%,323.83,C,2/1/2018,Current,Healthy,13134.08,960.13,465.92,494.21,0,Low (<50k),Healthy (<15%),Low,Safe,High
MA,Rent,"80,000.00",20.48,134248,112350,Debt_Consolidation,27000,60,10.42%,579.27,B,1/1/2018,Current,Healthy,25602.65,2301.45,1397.35,904.10,0,Medium (50k-100k),Manageable (15-30%),Medium,Maxed Out,High
VA,Rent,"73,000.00",18.01,107100,31797,Credit_Card,8000,36,7.35%,248.3,A,2/1/2018,Fully Paid,Healthy,0.00,8180.61,8000.00,180.61,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
FL,Mortgage,"87,000.00",32.08,507129,83517,Debt_Consolidation,20000,36,13.58%,679.48,C,3/1/2018,Current,Healthy,18625.12,2023.35,1374.88,648.47,0,Medium (50k-100k),Risky (>30%),Medium,Safe,High
WI,Own,"45,000.00",24.91,114840,87728,Other,9600,36,7.35%,297.96,A,1/1/2018,Current,Healthy,8389.46,1485.88,1210.54,275.34,0,Low (<50k),Manageable (15-30%),Medium,Safe,High
IL,Rent,"65,000.00",37.24,121695,70790,Major_Purchase,10000,36,7.34%,310.33,A,3/1/2018,Current,Healthy,9247.93,926.91,752.07,174.84,0,Medium (50k-100k),Risky (>30%),High,Safe,High
NC,Own,"120,000.00",9.38,391032,38926,Home_Improvement,30000,60,10.42%,643.63,B,1/1/2018,Current,Healthy,28050.79,3200.78,1949.21,1251.57,0,High (>100k),Healthy (<15%),Low,Safe,High
RI,Mortgage,"245,000.00",7.99,495163,41004,Credit_Card,35000,60,11.98%,778.21,B,3/1/2018,Current,Healthy,33700.73,2311.34,1299.27,1012.07,0,High (>100k),Healthy (<15%),Low,Safe,High
GA,Mortgage,"65,000.00",34.08,221980,37858,Debt_Consolidation,8000,36,16.02%,281.34,C,1/1/2018,In Grace Period,Delinquent,7240.75,1164.88,759.25,405.63,0,Medium (50k-100k),Risky (>30%),Medium,Safe,High
IL,Mortgage,"56,000.00",9.07,169160,11979,Other,4000,36,12.61%,134.03,C,2/1/2018,Current,Healthy,3721.10,399.29,278.90,120.39,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
NY,Rent,"140,000.00",15.02,148869,82775,Other,23100,36,9.44%,739.32,B,2/1/2018,Current,Healthy,20843.14,2945.17,2256.86,688.31,0,High (>100k),Manageable (15-30%),Low,Safe,High
CA,Mortgage,"85,175.04",4.55,419340,12786,Debt_Consolidation,24000,36,19.03%,880.11,D,2/1/2018,Fully Paid,Healthy,0.00,24988.25,24000.00,988.25,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
IN,Mortgage,"50,000.00",24.36,199545,26654,Debt_Consolidation,33100,60,14.08%,771.56,C,2/1/2018,Current,Healthy,31540.07,3060.35,1559.93,1500.42,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
CT,Rent,"40,000.00",22.59,85747,54462,Credit_Card,15000,36,9.44%,480.08,B,1/1/2018,Current,Healthy,12988.25,2554.67,2011.75,542.92,0,Low (<50k),Manageable (15-30%),Medium,Safe,High
NC,Mortgage,"59,000.00",11.33,153693,21819,Moving,8000,36,9.93%,257.88,B,2/1/2018,Fully Paid,Healthy,0.00,8170.51,8000.00,170.51,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
MI,Rent,"70,000.00",25.3,55855,42572,Debt_Consolidation,15000,60,30.79%,492.61,G,2/1/2018,Current,Healthy,14552.19,1906.29,447.81,1458.48,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
MO,Mortgage,"110,000.00",19.55,343888,60728,Debt_Consolidation,30000,36,18.45%,1091.36,D,3/1/2018,Current,Healthy,28678.72,2248.02,1321.28,926.74,0,High (>100k),Manageable (15-30%),Low,Safe,High
